Chapter,Type,Number,Character,Pinyin,German
7,lek,100,忠誠,zhōng chéng,"(SV) loyal, treu ergeben; (N) Loyalität"
7,lek,101,中華,zhōng huá,"(N) China, chinesisch"
7,lek,102,中期,zhōng qí,"(N) mittlere Epoche, mittlerer Zeitabschnitt"
7,lek,103,中外,zhōng wài,(N) China und das Ausland
7,lek,104,逐漸,zhú jiàn,"(Adv) nach und nach, allmählich"
7,lek,105,仔細,zǐ xì,"(SV) genau, sorgfältig"
7,üb,1,博物館,bó wù guǎn,(N) Museum
7,üb,2,表情,biǎo qíng,"(N) Mimik, Gefühlsausdruck"
7,üb,3,表現,biǎo xiàn,"(N) Erscheinung, Manifestation"
7,üb,4,布景,bù jǐng,(N) Kulisse
7,üb,5,長處,cháng chù,"(N) Vorzug, Stärke"
7,üb,6,臭豆腐,chòu dòu fu,(N) stinkender Bohnenkäse (Nachtmarktgericht)
7,üb,7,創新,chuàng xīn,(SV) bahnbrechend
7,üb,8,創造,chuàng zào,"(TV, 1) erschaffen, kreieren, erfinden"
7,üb,9,代表作,dài biǎo zuò,(N) repräsentatives Werk
7,üb,10,單位,dān wèi,"(N) Einheit [Währung]; Abteilung, Behörde"
7,üb,11,道具,dào jù,(N) Requisiten
7,üb,12,而是,ér shì,(Konj) sondern
7,üb,13,房租,fáng zū,"(N) Miete, Mietkosten"
7,üb,14,複雜,fù zá,"(SV) kompliziert, komplex"
7,üb,15,簡單,jiǎn dān,"(SV) einfach, unkompliziert"
7,üb,16,精彩,jīng cǎi,"(SV) ausgezeichnet, wunderbar, phantastisch"
7,üb,17,今日,jīn rì,(N) heute; der heutige Tag
7,üb,18,空前,kōng qián,"(SV) beispiellos, ohnegleichen"
7,üb,19,崑曲,kūn qǔ,"(N) Kunqu-Oper, trad. Theatermusik aus 昆山 Kūnshān in Jiāngsū"
7,üb,20,描繪,miáo huì,"(TV, 1) beschreiben, schildern, ausmalen"
7,üb,21,男女,nán nǚ,(N) Frauen und Männer
7,üb,22,年輕人,nián qīng rén,(N) Jugendlicher
7,üb,23,牆,qiáng,(N) Wand
7,üb,24,融合,róng hé,"(IV) verschmelzen, fusionieren"
7,üb,25,時代,shí dài,(N) Zeitalter
7,üb,26,樹,shù,(N) Baum
7,üb,27,完成,wán chéng,"(TV, 1) fertigstellen, vollenden"
7,üb,28,舞台,wǔ tái,(N) Bühne
7,üb,29,想像力,xiǎng xiàng lì,"(N) Imagination, Vorstellungskraft"
7,üb,30,寫實,xiě shí,"(IV) etwas nach der Natur malen oder zeichnen, realistisch zeichnen"
7,üb,31,喜怒哀樂,xǐ nù āi lè,"(N) Liebe, Hass, Trauer, Freude: die menschlichen Empfindungen"
7,üb,32,西元,xī yuán,"(N) Gregorianischer Kalender, B.C./A.D."
7,üb,33,要求,yào qiú,"(N) Bedürfnis, Anspruch"
7,üb,34,一看再看,yí kàn zài kàn,(Idiom) immer wieder anschauen
7,üb,35,閱讀,yuè dú,"(TV, 1) lesen, studieren"
7,üb,36,自然,zì rán,(SV) natürlich
7,zu,1,百駿圖,bǎi jùn tú,"(N) Einhundert Rösser [Gemälde von Giuseppe Castiglione i.e. 郎世寧 Láng Shìníng, 1688- 1766, im Palastmuseum Taibei]"
7,zu,2,表妹,biǎo mèi,(N) jüngere Cousine
7,zu,3,參觀券,cān guān quàn,"(N) Eintrittskarte [Museum, Ausstellung]"
7,zu,4,持,chí,"(TV, 1) festhalten; innehaben, besitzen"
7,zu,5,持學生証明者,chí xué shēng zhèng míng zhě,(N) Inhaber eines Studentenausweises
7,zu,6,範圍,fàn wéi,"(N) Umfang, Bereich, Rahmen"
7,zu,7,發源,fā yuán,"(TV) entspringen, herstammen"
7,zu,8,非物質,fēi wù zhí,(N) immateriell
7,zu,9,繪畫,huì huà,(N) Malerei
7,zu,10,郎世寧,láng shì níng,"(N) Giuseppe Castiglione , [1688-1766], Maler"
7,zu,11,每日,měi rì,"(N) jeden Tag, täglich"
7,zu,12,憑,píng,"(TV, 1) gestützt auf, mit, auf der Grundlage von"
7,zu,13,普通,pǔ tōng,"(SV) normal, gewöhnlich, Standard-"
7,zu,14,秋色,qiū sè,"(N) Herbststimmung, Herbstszenerie"
7,zu,15,全年,quán nián,(N) das ganze Jahr über
7,zu,16,鵲華秋色圖,què huá qiū sè tú,"(N) Herbststimmung beim Besuch des Elsternberges [鵲山 Quèshān] und des Berges der verschlossenen Lotosknospe, Gemälde von Zhào Mèngfǔ [1254-1322], im Palastmusum Taibei"
7,zu,17,新台幣,xīn tái bì,"(N) Neuer Taiwan Dollar, NTD, NT$"
7,zu,18,延長,yán cháng,"(TV, 1) verlängern, ausdehnen"
7,zu,19,優惠,yōu huì,"(N) Bevorzugung, Vergünstigung"
7,zu,20,優惠參觀券,yōu huì cān guān quàn,(N) Eintrittskarte mit Ermäßigung
7,zu,21,元旦,yuán dàn,(N) Yuandan: der 1. Tag des neuen Jahres
7,zu,22,元宵,yuán xiāo,"(N) der Abend des 15. Tages des ersten Monats im Mondkalender; süß gefüllte Reisklößchen, die zu diesem Anlass gegessen werden"
7,zu,23,元宵節,yuán xiāo jié,(N) Laternenfest [als Abschluss der Neujahrsfeierlichkeiten]
7,zu,24,趙孟頫,zhào mèng fǔ,"(N) Zhao Mengfu (1254-1322), Maler am Hof der Yuan (1271-1368)"
7,zu,25,至善園,zhì shàn yuán,(N) „Garten des Verharrens im höchsten Guten“: Park am Palastmuseum Taipei
7,zu,26,之一,zhī yī,"(N, Affix) einer, eine, eines von"
7,zu,27,中心,zhōng xīn,(N) Zentrum
8,wi,1,變成,biàn chéng,"(TV, 1) werden zu, sich wandeln in"
8,wi,2,棒,bàng,"(SV) toll, klasse, hervorragend"
8,wi,3,包種茶,bāo zhǒng chá,"(N) Teesorte: halbfermentierter grüner Tee,
gehört zur Kategorie 烏龍茶 wūlóngchá, Spezialität
aus Nordtaiwan"
8,wi,4,茶杯,chá bēi,(N) Teebecher
8,wi,5,畫,huà,"(N) Bild, Gemälde; (TV, 1) malen"
8,wi,6,可怕,kě pà,"(SV) entsetzlich, furchtbar"
8,wi,7,控制,kòng zhì,"(TV, 1) kontrollieren"
8,wi,8,啦,la,"(Part) phonetische Kontraktion aus 了 le und 啊 —
a als Satzschlusspartikel"
8,wi,9,纜車,lǎn chē,(N) Gondelbahn
8,wi,10,美術,měi shù,"(N) Kunst, die schönen Künste"
8,wi,11,面前,miàn qián,"(N) angesichts, vor, gegenüber"
8,wi,12,那些,nà xiē,"(Pron) jene, die dort"
8,wi,13,篇章,piān zhāng,"(N) Text, Abschnitt"
8,wi,14,深刻,shēn kè,"(SV) einschneidend, nachdrücklich, beeindruckend"
8,wi,15,室外,shì wài,"(N) draußen, im Freien, Outdoor"
8,wi,16,提醒,tí xǐng,"(TV, 1) jem. an etwas erinnern, auf die Sprünge
helfen"
8,wi,17,忘不了,wàng bù liǎo,"(VK) nicht vergessen können, unvergesslich sein"
8,wi,18,忘記,wàng jì,"(TV, 1) vergessen"
8,wi,19,文物展,wén wù zhǎn,(N) Ausstellung mit Kulturdenkmälern
8,wi,20,烏龍茶,wū lóng chá,"(N) Teesorte: Schwarzdrachen-Tee, halbfermentierter grüner Tee"
8,wi,21,限制,xiàn zhì,"(TV, 1) einschränken, (N) Restriktion"
8,wi,22,小玉,xiǎo yù,(N) Xiaoyu
8,wi,23,邀請,yāo qǐng,"(TV, 2) einladen zu"
8,wi,24,影片,yǐng piàn,(N) Kinofilm
8,wi,25,以下,yǐ xià,"(N) das folgende, wie folgt, nachstehend"
8,wi,26,之後,zhī hòu,"(SB, Affix) nach"
8,wi,27,主題,zhǔ tí,"(N) Hauptthema, Leitmotiv, Thematik"
8,wi,28,字典,zì diǎn,(N) Zeichenlexikon
8,wi,29,資訊,zī xùn,(N) Information
8,wi,30,作文,zuò wén,"(N) Aufsatz, Artikel, Essay"
8,wi,31,作用,zuò yòng,"(N) Effekt, Nutzen; Rolle, Funktion"
9,lek,1,安裝,ān zhuāng,"(TV, 1) montieren, installieren"
9,lek,2,背,bēi,"(TV, 1) auf dem Rücken tragen"
9,lek,3,背包,bēi bāo,(N) Rucksack
9,lek,4,不斷,bú duàn,(Adv.) unablässig
9,lek,5,補貼,bǔ tiē,"(N) Subvention, finanzieller Zuschuss"
9,lek,6,成本,chéng běn,"(N) Selbstkosten, eingesetztes Kapital"
9,lek,7,襯衫,chèn shān,"(N) Hemd, Bluse"
9,lek,8,充足,chōng zú,"(SV) hinreichend, genügend sein"
9,lek,9,大都市,dà dū shì,"(N) Großstadt, Metropole"
9,lek,10,大量,dà liàng,"(N) Großteil, hohe Anzahl von"
9,lek,11,倒是,dào shì,"(Adv.) wirklich, tatsächlich"
9,lek,12,電池,diàn chí,"(N) Batterie, Akku"
9,lek,13,電力,diàn lì,"(N) elektrische Energie, Strom"
9,lek,14,電子郵件,diàn zǐ yóu jiàn,(N) E-Mail
9,lek,15,地球,dì qiú,"(N) Erde, Erdball, Globus"
9,lek,16,地區,dì qū,"(N) Region, Gegend"
9,lek,17,多餘,duō yú,"(SV) überschüssig, überflüssig"
9,lek,18,發電,fā diàn,(N) Strom erzeugen
9,lek,19,房東,fáng dōng,"(N) Hausbesitzer(in), Vermieter(in)"
9,lek,20,房子,fáng zi,"(N) Haus, Zimmer, Wohnung"
9,lek,21,房租,fáng zū,(N) Miete
9,lek,22,趕快,gǎn kuài,"(Adv.) eilends, schnell"
9,lek,23,公寓,gōng yù,"(N) Appartement, Mietwohnung"
9,lek,24,後果,hòu guǒ,"(N) Ergebnis, Resultat"
9,lek,25,環境,huán jìng,(N) Umwelt
9,lek,26,回收,huí shōu,"(TV, 1) zurückerhalten, (N) Recycling"
9,lek,27,減碳,jiǎn tàn,(VO) CO2-Reduzierung [Umweltschutz]
9,lek,28,降低,jiàng dī,"(TV, 1) reduzieren, herabsetzen"
9,lek,29,將來,jiāng lái,"(N) Zukunft, zukünftig"
9,lek,30,漸漸,jiàn jiàn,"(Adv) schrittweise, allmählich"
9,lek,31,節能,jié néng,(N) Energiesparen
9,lek,32,捷足先登,jié zú xiān dēng,"(Idiom) „wer zuerst kommt, mahlt zuerst“"
9,lek,33,積極,jī jí,(SV) positiv
9,lek,34,經費,jīng fèi,"(N) Ausgaben, Kosten"
9,lek,35,經濟,jīng jì,"(N) Wirtschaft, Ökonomie"
9,lek,36,計算器,jì suàn qì,(N) Taschenrechner
9,lek,37,捲,juǎn,"(SV) gelockt, eingerollt, gekräuselt"
9,lek,38,居住,jū zhù,(IV) wohnen
9,lek,39,科學家,kē xué jiā,"(N) Wissenschaftler(in), Naturwissenschaftler"
9,lek,40,空地,kòng dì,"(N) Platz, Raum"
9,lek,41,空氣,kōng qì,"(N) Luft, Atmosphäre"
9,lek,42,空氣污染,kōng qì wū rǎn,(N) Luftverschmutzung
9,lek,43,莉莉,lì lì,(N) Lilli
9,lek,44,理想,lǐ xiǎng,(N) Ideal; (SV) ideal
9,lek,45,免得,miǎn de,"(Konj.) damit nicht, um zu vermeiden, dass"
9,lek,46,目前,mù qián,"(N) gegenwärtig, zur Zeit, augenblicklich"
9,lek,47,能源,néng yuán,(N) Energie
9,lek,48,汽,qì,(N) Wasserdampf
9,lek,49,汽車,qì chē,"(N) Auto, Kraftfahrzeug"
9,lek,50,慶祝,qìng zhù,"(TV, 1) etwas feiern, ein Fest feiern wegen"
9,lek,51,裙子,qún zi,(N) Rock
9,lek,32,人生,rén shēng,(N) menschliches Leben
9,lek,53,人生地不熟,rén shēng dì bù shú,"(Idiom) völlig unbedarft, orientierungslos"
9,lek,54,認同,rèn tóng,"(N) Zustimmung, Identifikation"
9,lek,55,熱水器,rè shuǐ qì,"(N) Heißwasserbereiter, Boiler"
9,lek,56,日常,rì cháng,(SV) alltäglich
9,lek,57,日常生活,rì cháng shēng huó,(N) Alltagsleben
9,lek,58,入境,rù jìng,"(N) Ankunft, Arrival (Flughafen)"
9,lek,59,設備,shè bèi,"(N) Ausrüstung, technische Ausstattung"
9,lek,60,聲音,shēng yīn,"(N) Geräusch, Laut, Schall"
9,lek,61,申請,shēn qǐng,"(TV, 1) beantragen; (N) Antrag"
9,lek,62,室溫,shì wēn,(N) Zimmertemperatur
9,lek,63,適應,shì yìng,"(TV, 1) sich anpassen, sich umstellen"
9,lek,64,手錶,shǒu biǎo,(N) Armbanduhr
9,lek,65,太陽能,tài yáng néng,(N) Solarenergie
9,lek,66,碳,tàn,"(N) C, Kohlenstoff; Abk. für CO2"
9,lek,67,提高,tí gāo,"(TV, 1) steigern, erhöhen, anheben, verbessern"
9,lek,68,挺,tǐng,"(Adv) ziemlich, recht"
9,lek,69,頭髮,tóu fǎ,"(N) Haar, Frisur"
9,lek,70,外表,wài biǎo,"(N) Äußeres, Fassade, Oberfläche"
9,lek,71,屋頂,wū dǐng,(N) Dach
9,lek,72,污染,wū rǎn,"(N) Verschmutzung, Verunreinigung"
9,lek,73,消極,xiāo jí,(SV) negativ
9,lek,74,效率,xiào lǜ,"(N) Effektivität, Wirkungsgrad"
9,lek,75,吸收,xī shōu,"(TV, 1) absorbieren, in sich aufnehmen"
9,lek,76,陽光,yáng guāng,(N) Sonnenlicht
9,lek,77,陽台,yáng tái,"(N) Balkon, Terrasse"
9,lek,78,研究,yán jiù,"(TV, 1) erforschen; (N) wissenschaftliche Forschung"
9,lek,79,意識,yì shì,"(N) Bewusstsein, Bewusstheit"
9,lek,8,運用,yùn yòng,"(TV, 1) verwenden, anwenden, gebrauchen"
9,lek,81,髒,zāng,"(SV) schmutzig, dreckig, verunreinigt"
9,lek,82,糟,zāo,"(SV) schlecht, miserabel"
9,lek,83,噪音,zào yīn,"(N) Lärm, Krach"
9,lek,84,噪音污染,zào yīn wū rǎn,"(N) Lärmpollution, Lärmbelästigung"
9,lek,85,政府,zhèng fǔ,(N) Regierung
9,lek,86,真是,zhēn shi,(Interj) so was! also wirklich!
9,lek,87,只要,zhǐ yào,(Konj) nur wenn
9,lek,88,之一,zhī yī,"(N, Affix) einer, eine, eines von"
9,lek,89,重視,zhòng shì,"(TV, 1) für wichtig halten, Wert legen auf"
9,lek,90,裝設,zhuāng shè,"(TV, 1) installieren, ausrüsten mit"
9,lek,91,主要,zhǔ yào,"(SV) wichtigste, Haupt-"
9,lek,92,自給自足,zì jǐ zì zú,(SV) autark; (N) Autarkie
9,lek,93,紫色,zǐ sè,(N) violett
9,lek,94,資源,zī yuán,"(N) Ressourcen, Naturressourcen"
9,üb,1,北部,běi bù,"(N) Norden, nördlicher Landesteil"
9,üb,2,避免,bì miǎn,"(TV, 1) vermeiden, ausweichen, entgehen"
9,üb,3,冰島,bīng dǎo,(N) Island
9,üb,4,必要,bì yào,(SV) notwendig sein
9,üb,5,廁所,cè suǒ,"(N) Toilette, Klo, Abort"
9,üb,6,成功,chéng gōng,(N) Erfolg; (SV) erfolgreich
9,üb,7,丹麥,dān mài,(N) Dänemark
9,üb,8,等待,děng dài,"(TV, 1) erwarten, abwarten"
9,üb,9,短缺,duǎn quē,"(N) Knappheit, Engpass; (TV, 1) fehlen an"
9,üb,10,堵車,dǔ chē,(N) Verkehrsstau
9,üb,11,寒冷,hán lěng,"(SV) kalt, eisig [Wetter]"
9,üb,12,混亂,hùn luàn,"(N) Unordnung, Chaos, Wirrwarr"
9,üb,13,今早,jīn zǎo,(N) heute Morgen
9,üb,14,句子,jù zi,(N) Satz
9,üb,15,寬敞,kuān chang,"(SV) geräumig, weit"
9,üb,16,枯竭,kū jié,"(IV) versiegen, austrocknen, sich erschöpfen"
9,üb,17,困難,kùn nan,"(SV) schwierig, kompliziert; (N) Schwierigkeit"
9,üb,18,老是,lǎo shi,"(Adv) ständig, immer, in einer Tour"
9,üb,19,累人,lèi rén,"(SV) ermüdend, belastend"
9,üb,20,旅程,lǚ chéng,"(N) Reiseroute, Reiseweg, Reise"
9,üb,21,迷人,mí rén,(SV) faszinierend
9,üb,22,女孩,nǚ hái,"(N) Mädchen, junge Frau(en)"
9,üb,23,取代,qǔ dài,"(TV, 1) ersetzen, substituieren"
9,üb,24,身邊,shēn biān,"(N) neben, bei [einem selbst]"
9,üb,25,水力,shuǐ lì,(N) Wasserkraft
9,üb,26,思考,sī kǎo,"(TV, 1) nachdenken über, in Erwägung ziehen"
9,üb,27,所謂的,suǒ wèi de,"(Pron) der, die, das sogenannte"
9,üb,28,抬頭,tái tóu,(VO) den Kopf heben
9,üb,29,同意,tóng yì,"(TV, 1) zustimmen, beipflichten; (N) Zustimmung"
9,üb,30,位子,wèi zi,"(N) Platz, Sitzplatz"
9,üb,31,溫暖,wēn nuǎn,"(SV) warm, heiß [Klima]"
9,üb,32,相反,xiāng fǎn,"(SV) konträr, entgegengesetzt; (N) Gegenteil"
9,üb,33,消耗,xiāo hào,"(TV, 1) verbrauchen, konsumieren;(N) Verbrauch"
9,üb,34,小林,xiǎo lín,(N) Xiao Lin
9,üb,35,一下子,yí xià zi,"(Adv) mit einem Mal, auf einen Schlag"
9,üb,36,再生,zài shēng,"(N) Reinkarnation, Wiedergeburt; (IV) wiederaufleben"
9,üb,37,照相,zhào xiàng,"(VO) aufnehmen, Fotos machen"
9,üb,38,做事,zuò shì,"(VO) arbeiten, erledigen, einen Job haben"
9,üb,39,作者,zuò zhě,(N) Urheber
9,zu,1,冰箱,bīng xiāng,"(N) Kühlschrank, Freezer"
9,zu,2,材料,cái liào,"(N) Baumaterial, Rohstoff; Material, Quellen"
9,zu,3,成交,chéng jiāo,"(IV) handelseinig werden, Geschäft abschließen"
9,zu,4,抽油煙機,chōu yóu yān jī,(N) Dunstabzugshaube
9,zu,5,廚餘,chú yú,(N) Küchenabfälle
9,zu,6,大安區,dà ān qū,"(N) Da’an, Stadtbezirk von Taibei"
9,zu,7,代收,dài shōu,"(TV, 1) in Empfang nehmen, abholen"
9,zu,8,大樓,dà lóu,(N) Hochhaus
9,zu,9,單純,dān chún,"(SV) einfach, allein; -simplex, unkompliziert"
9,zu,10,淡江大學,dàn jiāng dà xué,"(N) Tamkang-University [in Danshui, Tamsui]"
9,zu,11,電磁,diàn cí,(N) Elektromagnetismus
9,zu,12,電磁爐,diàn cí lú,(N) Induktionskochfeld
9,zu,13,第四台,dì sì tái,(N) BBC Four [TV-Programm]; Kabel-TV
9,zu,14,丟掉,diū diào,"(TV, 1) wegwerfen, entsorgen"
9,zu,15,短期,duǎn qí,"(N) kurze Frist, kurzfristig"
9,zu,16,短期租賃,duǎn qí zū lìn,(N) kurzfristige Vermietung
9,zu,17,多半,duō bàn,"(Adv) überwiegend, meistenteils"
9,zu,18,房客,fáng kè,"(N) Mieter, Untermieter"
9,zu,19,房屋,fáng wū,"(N) Haus, Gebäude"
9,zu,20,房屋仲介,fáng wū zhòng jiè,"(N) Wohnungsmakler, Immobilienmakler"
9,zu,21,廢紙類,fèi zhǐ lèi,(N) Altpapier
9,zu,22,分享,fēn xiǎng,"(TV, 1) teilhaben lassen an, mitteilen"
9,zu,23,否,fǒu,"(Adv) nein, nicht zutreffend [auf Fragebögen]"
9,zu,24,隔間,gé jiān,"(N) Einteilung, Partitionierung"
9,zu,25,格局,gé jú,"(N) Muster, Struktur, Systematik"
9,zu,26,即,jí,"(TV, 1) das bedeutet ...; im Sinne von..."
9,zu,27,警衛,jǐng wèi,"(N) Bewachung, Objektschutz"
9,zu,28,進入,jìn rù,"(TV, 1) eintreten in"
9,zu,29,舊,jiù ,"(SV) alt, abgetragen, verschlissen, verbraucht"
9,zu,30,距離,jù lí,"(N) Abstand, Distanz, Entfernung"
9,zu,31,寬頻,kuān pín,(N) Breitband
9,zu,32,寬頻網路,kuān pín wǎng lù,(N) Breitband-Internetanschluss
9,zu,33,垃圾,lè sè,(N) Müll
9,zu,34,垃圾車,lè sè chē,"(N) Müllauto, Müllwagen"
9,zu,35,垃圾分類,lè sè fēn lèi,(N) Mülltrennung
9,zu,36,資源回收,zī yuán huí shōu,(N) Abfallrecycling
9,zu,37,垃圾污染,lè sè wū rǎn,(N) Umweltverschmutzung durch Abfälle
9,zu,38,立體,lì tǐ,"(SV) räumlich, dreidimensional, stereo—"
9,zu,39,流理台,liú lǐ tái,"(N) jap. ryüritai: Küchenzeile, Kitchenette"
9,zu,40,樓層,lóu céng,"(N) Stockwerk, Etage"
9,zu,41,美食區,měi shí qū,"(N) Restaurantgegend, Gegend mit gutem Essen"
9,zu,42,配備,pèi bèi,"(TV, 1) ausstatten mit, zur Verfügung stellen"
9,zu,43,坪,píng,"(N) Tsubo, Ping: japanisches Flächenmaß gebräuchlich in Taiwan: ca. 1,5 qm"
9,zu,44,平面,píng miàn,"(SV) flach, eben, zweidimensional"
9,zu,45,品名,pǐn míng,"(N) Produktbeschreibung, Angebotsbeschreibung"
9,zu,46,牆,qiáng,"(N) Wand, Mauer"
9,zu,47,沙發,shā fā,"(N) Sofa, Sitzgarnitur"
9,zu,48,師大,shī dà,(N) Abk. für 國立臺灣師範大學 Guólì Táiwān Shīfàn Dàxué
9,zu,49,師大路,shī dà lù,"(N) Shi-Dalu, Straße im Bezirk Da’an, Taibei"
9,zu,50,水泥,shuǐ ní,(N) Beton
9,zu,51,水污染,shuǐ wū rǎn,(N) Wasserverschmutzung
9,zu,52,梳妝,shū zhuāng,"(IV) sich richten, kämmen und schminken"
9,zu,53,梳妝台,shū zhuāng tái,"(N) Frisierkommode, Schminktisch"
9,zu,54,送去,sòng qù,"(TV, 1) wegbringen, abliefern"
9,zu,55,塑膠,sù jiāo,"(N) Plastik, Kunststoff"
9,zu,56,塑膠袋,sù jiāo dài,(N) Plastiktüte
9,zu,57,所附,suǒ fù,"(N) Nachstehendes, was folgt ..."
9,zu,538,所附配備,suǒ fù pèi bèi,(IV) Nachstehendes gehört zur Ausstattung
9,zu,59,抬頭,tái tóu,(VO) den Kopf heben
9,zu,60,台電大樓站,tái diàn dà lóu zhàn,(N) Haltestelle Taipower-Building [der Taibeier MRT]
9,zu,61,台灣大學,tái wān dà xué,"(N) National Taiwan University, NTU [in Taibei]"
9,zu,62,國立臺灣師範大學,guó lì tái wān shī fàn dà xué,"(N) Staatliche Universitat fur Lehrerausbildung [in Taibei: National Taiwan Normal University, NTNU]"
9,zu,63,套房,tào fáng,(N) Appartement
9,zu,64,停止,tíng zhǐ,"(TV, 1) beenden, einstellen, stoppen"
9,zu,65,瓦斯,wǎ sī,"(N) Gas, Stadtgas, Erdgas"
9,zu,66,微波,wēi bō,(N) Mikrowellen
9,zu,67,微波爐,wēi bō lú,"(N) Mikrowellenherd, -ofen"
9,zu,68,物件,wù jiàn,"(N) Objekt, Gegenstand"
9,zu,69,屋主,wū zhǔ,"(N) Hausbesitzer, Vermieter"
9,zu,70,線 / 綫,xiàn / xiàn,(N) Schnur; Linie [S-Bahn]
9,zu,71,限男,xiàn nán,(VO) nur für Männer
9,zu,72,限女,xiàn nǚ,(VO) nur für Frauen
9,zu,73,項目,xiàng mù,"(N) Absatz, Posten, Position [in Listen etc.]"
9,zu,74,新店線,xīn diàn xiàn,(N) Xindian-Linie [der MRT Taibei]
9,zu,75,性別,xìng bié,(N) Geschlecht [m/f]
9,zu,76,性別限制,xìng bié xiàn zhì,(N) geschlechtsdefinierte Restriktion
9,zu,77,洗衣機,xǐ yī jī,(N) Waschmaschine
9,zu,78,雅房,yǎ fáng,"(N) Suite, Penthouse, elegante Residenz"
9,zu,79,押金,yā jīn,"(N) Kaution, Pfand"
9,zu,80,要求,yāo qiú,"(TV, 1) fordern, verlangen"
9,zu,81,要求句型,yāo qiú jù xíng,(N) erforderliche Satzmuster
9,zu,82,衣櫥,yī chú,(N) Kleiderschrank
9,zu,83,衣物,yī wù,"(N) Bekleidung, Kleidungsstücke"
9,zu,84,仲介,zhòng jiè,"(N) Makler, Mittelsmann, Vermittler"
9,zu,85,磚,zhuān,(N) Ziegelstein
9,zu,86,磚牆,zhuān qiáng,(N) aus Ziegeln gemauerte Wand
9,zu,87,租金,zū jīn,"(N) Mietzahlung, Miete"
9,zu,88,租賃,zū lìn,"(N) Vermietung, Verpachtung"
9,zu,89,作為,zuò wéi,"(TV, 1) werden zu, Rolle einnehmen von"
10,lek,1,唉喲,āi yo,(Interj) Oh je! Ach du liebe Zeit!,,
10,lek,2,阿里山,ā lǐ shān,(N) Alishan [Ort in Zentraltaiwan],,
10,lek,3,安心,ān xīn,"(SV) beruhigt, unbesorgt",,
10,lek,4,表達,biǎo dá,"(TV, 1) ausdrücken, Ausdruck verleihen",,
10,lek,5,避免,bì miǎn,"(TV, 1) vermeiden, entgehen, ausweichen",,
10,lek,6,伯父,bó fù,(N) Onkel [älterer Bruder des Vaters],,
10,lek,7,伯母,bó mǔ,(N) Tante [Ehefrau des älteren Bruders des Vaters],,
10,lek,8,不論,bú lùn,"(Konj.) ungeachtet, egal ob",,
10,lek,9,菜刀,cài dāo,(N) Küchenmesser,,
10,lek,10,嚐一嚐,cháng yì cháng,"(TV, 1) mal probieren, versuchen (Speisen, Getränke)",,
10,lek,11,沉默,chén mò,"(SV) schweigsam, stumm, zurückhaltend",,
10,lek,12,從命,cóng mìng,(VO) einem Befehl folgen, Gehorsamkeit,
10,lek,13,單數,dān shù,(N) Singular, ungerade Zahl,
10,lek,14,打擾,dǎ rǎo,"(TV, 1) stören, belästigen",,
10,lek,15,點心,diǎn xin,"(N) Imbiss, Zwischenmahlzeit, Nachtisch",,
10,lek,16,對方,duì fāng,"(N) Seite, Partei, Partner",,
10,lek,17,而,ér,"(B) und dabei; hingegen, aber",,
10,lek,18,恭敬,gōng jìng,"(N) Respekt, Ehrerbietung",,
10,lek,19,恭敬不如從命,gōng jìng bù rú cóng mìng,"(Idiom) „Aber das kann ich doch wirklich nicht annehmen“ [Geschenk, Einladung]",,
10,lek,20,過分,guò fèn,"(SV) exzessiv, übertrieben",,
10,lek,21,害羞,hài xiū,"(SV) schüchtern, verklemmt",,
10,lek,22,好事成雙,hǎo shì chéng shuāng,(Idiom) „Gute Dinge kommen paarweise“,,
10,lek,23,何必,hé bì,(Adv.) wozu dann noch? unnötig zu...,,
10,lek,24,剪刀,jiǎn dāo,(N) Schere,,
10,lek,25,交往,jiāo wǎng,"(N) Umgang, Beziehung, Kontakt (haben)",,
10,lek,26,禁忌,jìn jì,(N) Tabu,,
10,lek,27,考慮,kǎo lǜ,"(TV, 1) überdenken, überlegen",,
10,lek,28,留,liú,"(TV, 1) zurückhalten, aufhalten; zurücklassen",,
10,lek,29,囉,luō,(Part) nicht wahr? [am Satzende],,
10,lek,30,慢走,màn zǒu,(Idiom) Komm gut heim!,,
10,lek,31,毛巾,máo jīn,(N) Handtuch,,
10,lek,32,迷信,mí xìn,"(N) Aberglaube, abergläubisch sein",,
10,lek,33,拿手,ná shǒu,"(SV) bewandert, erfahren in, gut in",,
10,lek,34,婆婆,pópo,(N) Schwiegermutter,,
10,lek,35,切,qiè,"(TV, 1) aufschneiden, tranchieren",,
10,lek,36,散,sàn / sǎn,"(B) zerstreuen; (IV) aus dem Leim gehen, auseinanderfallen",,
10,lek,37,喪禮,sāng lǐ,"(N) Trauerfeier, Beerdigung",,
10,lek,38,扇子,shàn zi,(N) Fächer,,
10,lek,39,失禮,shī lǐ,"(VO) Taktlosigkeit, Entgleisung, Fauxpas",,
10,lek,40,事先,shì xiān,"(N) im Voraus, vorher",,
10,lek,41,手帕,shǒu pà,(N) Taschentuch,,
10,lek,42,雙數,shuāng shù,"(N) Dual, gerade Zahl",,
10,lek,43,水果,shuǐ guǒ,(N) Obst,,
10,lek,44,數目,shù mù,"(N) Ziffer, Zahl",,
10,lek,45,數字,shù zì,(N) Zahl,,
10,lek,46,死,sǐ,(IV) sterben,,
10,lek,47,送終,sòng zhōng,"(VO) am Sterbebett stehen, in der letzten Stunde beistehen",,
